category, device0, device1, 
V512.0 /E2.3k, 43, 225, 
V1.0k/E25.1k, 125, 1719, 
V1.0k/E4.6k, 124, 1742, 
V512.0 /E12.6k, 44, 229, 
V512.0 /E2.3k, 44, 226, 
