category, device0, device1, 
V10.0k/E5.0m, 306, 191, 
V1.0k/E4.6k, 147, 65, 
V10.0k/E5.0m, 316, 190, 
V10.0k/E5.0m, 310, 189, 
V10.0k/E5.0m, 351, 258, precalculation gpu
