category, device0, device1, 
V10.0k/E4.5, 49, 49, 
V10.0k/E4.5, 51, 48,  
V100.0k/E4,5, 84, 71, 
V20.0m/E5m, 140, 325,
 
V10.0k/E49,5, 65, 60,  
V100.0k/E50, 218, 204, 
V500.0k/E50, 833, 748, 
V10.0k/E50, 68, 63,

V10.0k/E500, 213, 200,
V50.0k/E500, 799, 713,

------------------------

