category, device0, device1, 
V10.0k/E495.0k, 8, 6, 
V500.0k/E24.8m, 83, 170, 
V100.0k/E5.0m, 27, 38, 
V10.0k/E5.0m, 20, 19, 
V50.0k/E25.0m, 75, 61,
V100.0k/E50.0m, 149, 117,
V20.0m/E110.1m, 604, 7602, 
