category, device0, device1, 
V512.0 /E2.3k, 302, 487, 
V1.0k/E25.1k, 4034, 9975, 
V1.0k/E4.6k, 4055, 9788, 
V512.0 /E12.6k, 300, 484, 
V512.0 /E2.3k, 289, 487, 
